dataset,seed,model,severity,n_test,n_errors,accuracy,confidence_all,confidence_correct,confidence_error,margin_all,margin_correct,margin_error,high_confidence_error_rate,vote_agreement,vote_agreement_error,vote_entropy,vote_entropy_error,disagreement_confidence_correlation
Breast Cancer,5,Gradient Boosting,0.25,114,3,0.9736842105263158,0.9790017219416538,0.9841860582874765,0.7871812771462167,5.526861084661353,5.63783018255514,1.4210044625912357,0.0,,,,,
Breast Cancer,5,Gradient Boosting,0.5,114,8,0.9298245614035088,0.9598474948177114,0.9741744619233681,0.7700151806677604,4.74398546038373,4.999522729310894,1.3581166470988077,0.125,,,,,
Breast Cancer,5,Gradient Boosting,1.0,114,16,0.8596491228070176,0.9003139033882498,0.9145719208947086,0.8129835461611887,3.322947615258291,3.551289854568247,1.92435139948481,0.375,,,,,
Breast Cancer,5,Gradient Boosting,1.5,114,23,0.7982456140350878,0.8674673298761997,0.8997433983399502,0.7397663633457087,2.775671314426053,3.125364870579565,1.3921011574708535,0.21739130434782608,,,,,
Breast Cancer,5,Gradient Boosting,2.0,114,35,0.6929824561403509,0.8598745916879781,0.8924295112515643,0.7863934875301689,2.7883923083160336,3.2268654476667233,1.79869579378162,0.37142857142857144,,,,,
Breast Cancer,6,Logistic Regression,0.0,114,4,0.9649122807017544,0.9748024133589618,0.9807000671074402,0.8126169352758036,8.322405133055483,8.563683290028727,1.6872558162912323,0.25,,,,,
Breast Cancer,6,Logistic Regression,0.25,114,4,0.9649122807017544,0.978339303149601,0.9843182931838069,0.8139170772089381,8.441663530692953,8.689500000974183,1.6261605979590879,0.25,,,,,
Breast Cancer,6,Logistic Regression,0.5,114,8,0.9298245614035088,0.9665323347945676,0.9803804406585578,0.7830449320966976,8.393959749785756,8.903227549207724,1.6461614074446553,0.25,,,,,
Breast Cancer,6,Logistic Regression,1.0,114,6,0.9473684210526315,0.9565682957096117,0.9676090211775656,0.7578352372864409,8.758888472046973,9.1451620357887,1.8059643246959023,0.3333333333333333,,,,,
Breast Cancer,6,Logistic Regression,1.5,114,14,0.8771929824561403,0.953498250184025,0.9620365121647336,0.8925106646075349,8.879525600849695,9.550039236470774,4.0901424892705585,0.7142857142857143,,,,,
Breast Cancer,6,Logistic Regression,2.0,114,16,0.8596491228070176,0.9633351097728532,0.9727018996744446,0.9059635216256059,9.49604930587949,10.438862639734495,3.721317636017591,0.625,,,,,
Breast Cancer,6,Random Forest,0.0,114,6,0.9473684210526315,0.9485185045948205,0.9555838183421517,0.8213428571428572,0.8970370091896408,0.9111676366843033,0.6426857142857143,0.3333333333333333,0.9485964912280702,0.8073333333333332,0.19280828216244036,0.5442128702849708,-0.9885170675569933
Breast Cancer,6,Random Forest,0.25,114,5,0.956140350877193,0.9182307852965749,0.924805635648755,0.7748990476190476,0.8364615705931495,0.8496112712975098,0.5497980952380953,0.4,0.9172631578947367,0.7672,0.29952462237341704,0.6246457993333847,-0.9876964996311284
Breast Cancer,6,Random Forest,0.5,114,11,0.9035087719298246,0.8546345029239766,0.8775493296347664,0.6400683982683982,0.7092690058479533,0.755098659269533,0.28013679653679663,0.0,0.8522105263157895,0.6570909090909091,0.48906037212305603,0.9090539680141824,-0.9822843730752139
Breast Cancer,6,Random Forest,1.0,114,12,0.8947368421052632,0.7504771929824562,0.7680302987861813,0.6012757936507936,0.5009543859649123,0.5360605975723624,0.20255158730158726,0.0,0.742701754385965,0.6123333333333333,0.7239032901346918,0.941729335443653,-0.9731572222974685
